time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.997333709714599e-08,-1.2856348585064726e-08,10.006463239992465,6.28281032604335,6.282921116087657,0.0,1.6798669901527517e-05,-1.7391255349741938e-05,0.21542471829833515,-0.023256804397890136,-0.015113574258270975,0.0,472.6598634768773,471.4939461302595,473.0304212014971,471.236483510589
0.12000000000000001,1.2076127095193329e-05,-1.7082365051091627e-05,10.026864203569655,6.281163606371468,6.2817651916826485,0.0,0.0005083026983558855,-0.0007382012954876625,0.46453879262037734,-0.037515086962396374,-0.029228617817293412,0.0,482.5674441917282,481.5010188154973,482.4506524369501,481.3729255465829
0.18,7.549229389536174e-05,-0.00010709908566466517,10.055912303822758,6.278423862057286,6.2796921784322315,0.0,0.0017807005926054628,-0.0024853367798272938,0.5037134519733458,-0.07167101191929684,-0.04818511059110128,0.0,419.0298077719251,417.3782254427864,418.0705731685344,415.0825775219065
0.23999999999999996,0.000244879644725521,-0.00034195023528926907,10.084004511266647,6.274713319806565,6.27681693032352,0.0,0.004086769501133429,-0.005646521467123773,0.4327210816806359,-0.047188092317367675,-0.047397534035157,0.0,378.7917278357021,378.8656125102374,378.10606848765985,380.4533463422705
0.3,0.0006411533923848511,-0.0008779986656536164,10.114225012419771,6.271669781204935,6.274024241826787,0.0,0.009426836540827278,-0.012537784532687305,0.5745625069370213,-0.05895094015019211,-0.044892200751243734,0.0,450.13338095002155,450.33478711979956,450.67200563886155,449.7187404465599
0.36000000000000004,0.0014064922038268628,-0.0018820777120040133,10.151743613813045,6.268304687459738,6.271595212874086,0.0,0.01634451638150154,-0.021283038981138015,0.6759953094215911,-0.05089573147360823,-0.032873066194042413,0.0,437.2707576090059,438.269802102456,437.3810282774556,438.04907121637024
0.4200000000000001,0.002628173270279487,-0.0034704575144171887,10.194805185647338,6.264849408620389,6.269676487610113,0.0,0.02457116100155928,-0.03198070448396958,0.7593306270175258,-0.07637493767446961,-0.030247901218614388,0.0,431.56614754218185,431.7872304220291,433.6151272006525,431.4670387782719
0.48000000000000015,0.00437129851902899,-0.005761875204966485,10.242121976558114,6.259936520537163,6.267478591865846,0.0,0.03372021058036196,-0.04485111421563436,0.8178432998411722,-0.0961421435146205,-0.05415979743295912,0.0,424.8276905070327,422.7718375490882,425.45012003370937,423.7485083139569
0.5400000000000001,0.006727543677271695,-0.008949440864404377,10.293951400822273,6.2542826993829905,6.263816394654409,0.0,0.045162676569563756,-0.06197477409611221,0.909714185943509,-0.0906599655103589,-0.08061371188579777,0.0,436.3439808744928,434.1272007213516,434.7601533832817,435.2114227161063
0.6000000000000002,0.009958314134503751,-0.013437139206593056,10.356589708033203,6.248390727326029,6.259230771345155,0.0,0.0631215099125241,-0.08831716829902732,1.177956216389187,-0.1208658930296712,-0.06915281907411279,0.0,488.1670817856236,489.0173379378923,489.326211479795,487.0648414305929
0.6600000000000003,0.014318230511385121,-0.019573220816420447,10.432769676371553,6.241439697784342,6.255406778364183,0.0,0.0826578848153554,-0.11702138968785256,1.361131835495323,-0.10735041856200783,-0.05465112773690128,0.0,463.3648760832598,464.50052750910766,463.8623497099233,464.91089632844836
0.7200000000000003,0.019915134059671737,-0.02755884518594786,10.519220407667934,6.234637432440307,6.25234210398464,0.0,0.10425032594840095,-0.1498862225001741,1.5203152558050959,-0.1294795456482568,-0.044750686204910926,0.0,457.1553730560776,457.9418832433489,458.2174277205977,456.44361591405783
0.7800000000000004,0.026837946473119392,-0.03761711500481171,10.614065264388595,6.226778240145769,6.249190891053619,0.0,0.12680255077729652,-0.18620162025611683,1.6409579286710607,-0.13418137676507938,-0.0763960900713018,0.0,447.5254022152683,444.94022548201735,446.1602549876711,445.76053511487754
0.8400000000000004,0.03528609759566932,-0.05018603967076622,10.718955547539434,6.2185420166220915,6.245216759806034,0.0,0.15529375116960306,-0.23371001934255978,1.8549792997571628,-0.1442928165695626,-0.05120936311448866,0.0,473.9182585112219,475.8468926804443,475.21893165704364,474.4270747981461
0.9000000000000005,0.04545238043187921,-0.06566835058842063,10.834590070227833,6.2095221734424335,6.242782840052644,0.0,0.18386527397477312,-0.283305372971954,1.9991773570872897,-0.1664961060859809,-0.025004633147949453,0.0,454.0668761214958,456.1631366603308,455.29099468388307,453.48999003123754
0.9600000000000005,0.057440591875036334,-0.08443998353124461,10.960319112999068,6.199959174260876,6.241085715407316,0.0,0.21591030974501813,-0.3435160317849276,2.191333249005189,-0.14801916231797152,-0.03582071935452944,0.0,470.4147067458737,469.57627157788687,469.19132997721647,470.6006660682816
1.0200000000000005,0.07113480145633821,-0.1065286080313455,11.091501529275199,6.191482798786499,6.23953475851231,0.0,0.24071727823332822,-0.3935151760174708,2.1813487327171432,-0.13038554057610133,-0.011030372378265527,0.0,405.5584212054186,407.7785976720051,405.4193886558941,406.9797391020216
1.0800000000000005,0.08648213516552616,-0.1320625321672791,11.225298962105185,6.184204680686703,6.23872851335021,0.0,0.27092429573588434,-0.45836123610432405,2.2782829661828523,-0.10751062993124165,-0.018747668156436168,0.0,441.34171980347867,440.7044352143873,441.7643634000645,443.6327595051481
1.1400000000000006,0.1036997972825709,-0.1617216503277392,11.365784070230257,6.178134171439357,6.237545215292675,0.0,0.3031062317497143,-0.5309116658731615,2.4042012606719374,-0.0908315395444106,-0.021744230052903282,0.0,451.2708227746681,451.02892244205333,451.2911825236748,452.62658623918816
